postal_code,type,city_en
81108,POST_OFFICE,Horapawita
50350,POST_OFFICE,Horawpatana
82456,POST_OFFICE,Horewelagoda
50222,POST_OFFICE,Horiwila
60181,POST_OFFICE,Horombawa
91004,POST_OFFICE,Hulandawa
32514,POST_OFFICE,Hulannuge
60474,POST_OFFICE,Hulogedara
60477,POST_OFFICE,Hulugalla
82120,POST_OFFICE,Hungama
20948,POST_OFFICE,Hunnasgiriya
11262,POST_OFFICE,Hunumulla
11311,POST_OFFICE,Hunupitiya
60582,POST_OFFICE,Hunupola
50176,POST_OFFICE,Hurigaswewa
50394,POST_OFFICE,Hurulunikawewa
60500,POST_OFFICE,Ibbagamuwa
31236,POST_OFFICE,Ichchilampattai
90167,POST_OFFICE,Idalgashinna
82412,POST_OFFICE,Ihala Beligalla
60211,POST_OFFICE,Ihala Gomugomuwa
70039,POST_OFFICE,Ihala hakamuwa
50262,POST_OFFICE,Ihala Halmillewa
80432,POST_OFFICE,Ihala Hewessa
60238,POST_OFFICE,Ihala Kadigamuwa
60135,POST_OFFICE,Ihala Katugampala
20042,POST_OFFICE,Ihala Kobbekaduwa
61154,POST_OFFICE,Ihala Kottaramulla
11265,POST_OFFICE,Ihala Madampella
61316,POST_OFFICE,Ihala Puliyankulama
11034,POST_OFFICE,Ihala Uggalboda
80134,POST_OFFICE,Ihala Walpola
70144,POST_OFFICE,Ihalagalagama
50304,POST_OFFICE,Ihalagama
40108,POST_OFFICE,Ilavalai
61018,POST_OFFICE,Ilippadeniya
20724,POST_OFFICE,Illagolla
21406,POST_OFFICE,Illukkumbura
60232,POST_OFFICE,Ilukhena
41175,POST_OFFICE,Iluppaikadavai
80130,POST_OFFICE,Imaduwa
71313,POST_OFFICE,Imbulana
71055,POST_OFFICE,Imbulgasdeniya
11856,POST_OFFICE,Imbulgoda
21064,POST_OFFICE,Imbulgolla
70134,POST_OFFICE,Imbulpe
21124,POST_OFFICE,Inamaluwa
60016,POST_OFFICE,Indulgodakanda
80510,POST_OFFICE,Induruwa
61514,POST_OFFICE,Inginimitiya
32040,POST_OFFICE,Inginiyagala
12440,POST_OFFICE,Ingiriya
60064,POST_OFFICE,Inguruwatta
40095,POST_OFFICE,Inuvil
50280,POST_OFFICE,Ipologama
32450,POST_OFFICE,Irakkamam
43095,POST_OFFICE,Iranaiiluppaikulam
42630,POST_OFFICE,Iranaitivu
60045,POST_OFFICE,Iriyagolla
61302,POST_OFFICE,Ismailpuram
60025,POST_OFFICE,Ithanawatta
82462,POST_OFFICE,Ittademaliya
70342,POST_OFFICE,Ittekanda
12116,POST_OFFICE,Ittepana
42556,POST_OFFICE,Iyakachchi
11350,POST_OFFICE,Ja-Ela
40000,POST_OFFICE,Jaffna
20822,POST_OFFICE,Jambugahapitiya
90063,POST_OFFICE,Jangulla
51024,POST_OFFICE,Jayanthipura
51246,POST_OFFICE,Jayasiripura
82252,POST_OFFICE,Julampitiya
71202,POST_OFFICE,Kabagamuwa
11850,POST_OFFICE,Kadawatha
31212,POST_OFFICE,Kaddaiparichchan
60492,POST_OFFICE,Kadigawa
20300,POST_OFFICE,Kadugannawa
